CASE_ENQUIRY_ID,OPEN_DT,CLOSED_DT,TIME_DIFF,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,Location,neighborhood,neighborhood_services_district,LOCATION_STREET_NAME,LOCATION_ZIPCODE,LATITUDE,LONGITUDE,Source,completion.time
1.01E+11,6/30/12 10:15,7/2/12 16:32,2:06:16,Closed,Case Closed Case Referred to External Agency USPS jurisdiction.  Details forwarded. ,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,65-67 Westland Ave  Boston  MA  02115,Fenway / Kenmore / Audubon Circle / Longwood,14,65-67 Westland Ave,2115,42.34397,-71.08848,Citizens Connect App,54.26666667
1.01E+11,6/30/12 10:48,7/3/12 13:52,3:03:03,Closed,Case Closed Case Resolved has been removed ,Graffiti Removal - paint control box - Dist 10A,Property Management,Graffiti,Graffiti Removal,PWDx_District 10A: Roxbury,PWDx,78 Westland Ave  Boston  MA  02115,Fenway / Kenmore / Audubon Circle / Longwood,14,78 Westland Ave,2115,42.34362,-71.08944,Citizens Connect App,75.05
1.01E+11,6/30/12 22:14,7/18/12 10:18,17:12:03,Closed,Case Closed Case Resolved   The graffiti crew couln't find the reported graffiti. So  either someone removed the graffiti or the team will need more information to find the tags. ,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,735 E Third St  South Boston  MA  02127,South Boston / South Boston Waterfront,5,735 E Third St,2127,42.33642,-71.02995,Citizens Connect App,420.05
1.01E+11,7/2/12 8:06,7/26/12 12:38,24:04:32,Closed,Case Closed Case Resolved   This request has been completed. ,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,568 Cambridge St  Allston  MA  02134,Allston / Brighton,15,568 Cambridge St,2134,42.352294,-71.140439,Citizens Connect App,580.5333333
1.01E+11,7/2/12 12:40,7/9/12 8:47,6:20:07,Closed,Case Closed Case Resolved   This is a duplicate and refer to cn#101000444125. ,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,500 Lincoln St  Allston  MA  02134,Allston / Brighton,15,500 Lincoln St,2134,42.35753,-71.12959,Constituent Call,164.1166667
1.01E+11,7/2/12 12:43,7/9/12 8:51,6:20:07,Closed,Case Closed Case Resolved   This is a duplicate and refer to cn#101000444125 ,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,500 Lincoln St  Allston  MA  02134,Allston / Brighton,15,500 Lincoln St,2134,42.35753,-71.12959,Constituent Call,164.1166667
1.01E+11,7/2/12 12:46,7/20/12 13:09,18:00:22,Closed,Case Closed Case Resolved   This request has been completed and 510 Lincoln Street was done. Also  these has sites have been done 15 times in the past. ,Graffiti: Ward 22  2201  Other,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,500 Lincoln St  Allston  MA  02134,Allston / Brighton,15,500 Lincoln St,2134,42.35753,-71.12959,Constituent Call,432.3666667
1.01E+11,7/2/12 16:38,7/18/12 11:49,15:19:10,Closed,Case Closed Case Resolved   This request has been completed and has been done in the past. ,Graffiti: Ward 10  1003  Other,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,41 Calumet St  Mission Hill  MA  02120,Mission Hill,14,41 Calumet St,2120,42.3326,-71.10577,Constituent Call,379.1666667
1.01E+11,7/3/12 8:18,7/18/12 11:49,15:03:30,Closed,Case Closed Case Resolved   This request has been completed and has been done in the past. ,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,39 Calumet St  Mission Hill  MA  02120,Mission Hill,14,39 Calumet St,2120,42.33267,-71.10573,Citizens Connect App,363.5
1.01E+11,7/3/12 9:37,7/5/12 15:29,2:05:51,Closed,Case Closed Case Referred to External Agency USPS jurisdiction.  Details forwarded. ,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,883-885 Boylston St  Boston  MA  02116,Back Bay,14,883-885 Boylston St,2116,42.34863,-71.08355,Citizens Connect App,53.85
